%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi
1783583876668966173,1888,1783583876668966173,,255
1783583876668966173,1888,1783583876668966173,,255
1783583876668966173,1888,1783583876668966173,,255
1783583876668966173,1888,1783583876668966173,,255
1783583876668966173,1888,1783583876668966173,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877168930387,1889,1783583877168930387,,255
1783583877669059504,1890,1783583877669059504,,255
1783583877669059504,1890,1783583877669059504,,255
1783583877669059504,1890,1783583877669059504,,255
1783583877669059504,1890,1783583877669059504,,255
1783583877669059504,1890,1783583877669059504,,255
1783583877669059504,1890,1783583877669059504,,255
1783583877669059504,1890,1783583877669059504,,255
1783583877669059504,1890,1783583877669059504,,255
1783583877669059504,1890,1783583877669059504,,255
1783583877669059504,1890,1783583877669059504,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878168962459,1891,1783583878168962459,,255
1783583878668949297,1892,1783583878668949297,,255
1783583878668949297,1892,1783583878668949297,,255
1783583878668949297,1892,1783583878668949297,,255
1783583878668949297,1892,1783583878668949297,,255
1783583878668949297,1892,1783583878668949297,,255
1783583878668949297,1892,1783583878668949297,,255
1783583878668949297,1892,1783583878668949297,,255
1783583878668949297,1892,1783583878668949297,,255
1783583878668949297,1892,1783583878668949297,,255
1783583878668949297,1892,1783583878668949297,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879168996439,1893,1783583879168996439,,255
1783583879669116344,1894,1783583879669116344,,255
1783583879669116344,1894,1783583879669116344,,255
1783583879669116344,1894,1783583879669116344,,255
1783583879669116344,1894,1783583879669116344,,255
1783583879669116344,1894,1783583879669116344,,255
1783583879669116344,1894,1783583879669116344,,255
1783583879669116344,1894,1783583879669116344,,255
1783583879669116344,1894,1783583879669116344,,255
1783583879669116344,1894,1783583879669116344,,255
1783583879669116344,1894,1783583879669116344,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880169004987,1895,1783583880169004987,,255
1783583880669285971,1896,1783583880669285971,,255
1783583880669285971,1896,1783583880669285971,,255
1783583880669285971,1896,1783583880669285971,,255
1783583880669285971,1896,1783583880669285971,,255
1783583880669285971,1896,1783583880669285971,,255
1783583880669285971,1896,1783583880669285971,,255
1783583880669285971,1896,1783583880669285971,,255
1783583880669285971,1896,1783583880669285971,,255
1783583880669285971,1896,1783583880669285971,,255
1783583880669285971,1896,1783583880669285971,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881169194843,1897,1783583881169194843,,255
1783583881669301885,1898,1783583881669301885,,255
1783583881669301885,1898,1783583881669301885,,255
1783583881669301885,1898,1783583881669301885,,255
1783583881669301885,1898,1783583881669301885,,255
1783583881669301885,1898,1783583881669301885,,255
1783583881669301885,1898,1783583881669301885,,255
1783583881669301885,1898,1783583881669301885,,255
1783583881669301885,1898,1783583881669301885,,255
1783583881669301885,1898,1783583881669301885,,255
1783583881669301885,1898,1783583881669301885,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882169225547,1899,1783583882169225547,,255
1783583882669284628,1900,1783583882669284628,,255
1783583882669284628,1900,1783583882669284628,,255
1783583882669284628,1900,1783583882669284628,,255
1783583882669284628,1900,1783583882669284628,,255
1783583882669284628,1900,1783583882669284628,,255
1783583882669284628,1900,1783583882669284628,,255
1783583882669284628,1900,1783583882669284628,,255
1783583882669284628,1900,1783583882669284628,,255
1783583882669284628,1900,1783583882669284628,,255
1783583882669284628,1900,1783583882669284628,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883169024080,1901,1783583883169024080,,255
1783583883669230766,1902,1783583883669230766,,255
1783583883669230766,1902,1783583883669230766,,255
1783583883669230766,1902,1783583883669230766,,255
1783583883669230766,1902,1783583883669230766,,255
1783583883669230766,1902,1783583883669230766,,255
1783583883669230766,1902,1783583883669230766,,255
1783583883669230766,1902,1783583883669230766,,255
1783583883669230766,1902,1783583883669230766,,255
1783583883669230766,1902,1783583883669230766,,255
1783583883669230766,1902,1783583883669230766,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884169135365,1903,1783583884169135365,,255
1783583884669230112,1904,1783583884669230112,,255
1783583884669230112,1904,1783583884669230112,,255
1783583884669230112,1904,1783583884669230112,,255
1783583884669230112,1904,1783583884669230112,,255
1783583884669230112,1904,1783583884669230112,,255
1783583884669230112,1904,1783583884669230112,,255
1783583884669230112,1904,1783583884669230112,,255
1783583884669230112,1904,1783583884669230112,,255
1783583884669230112,1904,1783583884669230112,,255
1783583884669230112,1904,1783583884669230112,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885169156151,1905,1783583885169156151,,255
1783583885669233968,1906,1783583885669233968,,255
1783583885669233968,1906,1783583885669233968,,255
1783583885669233968,1906,1783583885669233968,,255
1783583885669233968,1906,1783583885669233968,,255
1783583885669233968,1906,1783583885669233968,,255
1783583885669233968,1906,1783583885669233968,,255
1783583885669233968,1906,1783583885669233968,,255
1783583885669233968,1906,1783583885669233968,,255
1783583885669233968,1906,1783583885669233968,,255
1783583885669233968,1906,1783583885669233968,,255
1783583886169287556,1907,1783583886169287556,,255
1783583886169287556,1907,1783583886169287556,,255
1783583886169287556,1907,1783583886169287556,,255
1783583886169287556,1907,1783583886169287556,,255
1783583886169287556,1907,1783583886169287556,,255
1783583886169287556,1907,1783583886169287556,,255
1783583886169287556,1907,1783583886169287556,,255
